id,product,product_pred
42gjK,3.179102583207246,2.435587031544955
zvuV8,26.95326103153969,25.490598889617303
NWHY3,53.90652206307938,55.50584345746549
HijQj,26.95326103153969,27.401976900838648
yHiJJ,0.0,0.23157361856114278
yWZRC,53.90652206307938,53.9177303602909
D4MNc,80.85978309461906,80.36788469023557
OcUuO,3.179102583207246,3.054046418425756
YqOc2,137.94540774090564,138.03996235652136
OPtKr,3.179102583207246,3.3968774285976053
8tHHU,57.08562464628662,56.15339790237919
82AVA,57.08562464628662,56.522606114722684
RSQvL,134.76630515769844,134.21853653538977
I0UR2,80.85978309461906,81.61530980642596
vZGbT,137.94540774090564,136.53660822702125
MTQGU,53.90652206307938,53.578043726923084
AdE1p,26.95326103153969,27.307087022668647
oUL0Y,134.76630515769844,134.71440080936804
LXuDF,53.90652206307938,53.86070656528045
FDOf2,30.132363614746943,28.000274603231567
AW3vK,26.95326103153969,27.234612072424333
MPWbf,84.03888567782631,84.22590477002417
XVDN2,80.85978309461906,81.8668846949557
f6CIC,107.81304412615876,108.12116161884362
WZyix,57.08562464628662,58.025902880110536
8dWVz,0.0,1.4070359376203214
zAlsb,107.81304412615876,106.43683846309665
5qyQg,80.85978309461906,82.5131993484021
LDcIR,0.0,0.466514886762738
on4h1,30.132363614746943,29.041484000547
HTLAT,57.08562464628662,55.11190097402886
DUC9m,3.179102583207246,2.0702203378585864
BR7ze,3.179102583207246,2.8513462453171172
h7XhC,57.08562464628662,57.7222327629153
LL4SG,110.992146709366,110.70436975790585
XuZSS,84.03888567782631,84.62525299632026
lUhB7,0.0,-0.5258511206364176
93uAZ,26.95326103153969,26.484871776351667
H2x4L,30.132363614746943,29.26603976975644
tWF2k,134.76630515769844,135.31426618188323
5fJSB,137.94540774090564,136.70160244661707
H0fyg,137.94540774090564,137.61596358685017
guMTs,134.76630515769844,135.54727648497314
xJ4Et,53.90652206307938,54.48883855055877
lamp4,0.0,0.19999543685092647
iKXb3,26.95326103153969,27.610267361044393
X6fnn,26.95326103153969,27.791531068673393
DMwYG,110.992146709366,111.19329119085023
aVvOp,107.81304412615876,108.60978032631711
hTANT,53.90652206307938,55.19575461153604
otpMH,0.0,0.05880582276680002
